employerId,Yr_Month,Num_of_Employees,Num_of_Jobs,avgPay,Pay_Group,location,buildingId,HiredRate
379,2022-03,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2022-04,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2022-05,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2022-06,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2022-07,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2022-08,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2022-09,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2022-10,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2022-11,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2022-12,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2023-01,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2023-02,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2023-03,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2023-04,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2023-05,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
381,2022-03,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,2022-04,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,2022-05,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,2022-06,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,2022-07,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,2022-08,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,2022-09,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,2022-10,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,2022-11,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,2022-12,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,2023-01,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,2023-02,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,2023-03,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,2023-04,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,2023-05,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
382,2022-03,6,9,13.37043245,<=$15 (Low),POINT (670.3987400004884 1584.4743462106067),3,67
382,2022-04,4,9,13.37043245,<=$15 (Low),POINT (670.3987400004884 1584.4743462106067),3,44
382,2022-05,4,9,13.37043245,<=$15 (Low),POINT (670.3987400004884 1584.4743462106067),3,44
