employerId,Weekday,Num_of_Employees,Num_of_Jobs,avgPay,Pay_Group,location,buildingId,HiredRate
379,Friday,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,Monday,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,Thursday,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,Tuesday,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,Wednesday,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
381,Friday,3,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,75
381,Monday,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,Saturday,1,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,25
381,Sunday,1,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,25
381,Thursday,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,Tuesday,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
381,Wednesday,3,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,75
382,Friday,5,9,13.37043245,<=$15 (Low),POINT (670.3987400004884 1584.4743462106067),3,56
382,Monday,4,9,13.37043245,<=$15 (Low),POINT (670.3987400004884 1584.4743462106067),3,44
382,Thursday,6,9,13.37043245,<=$15 (Low),POINT (670.3987400004884 1584.4743462106067),3,67
382,Tuesday,5,9,13.37043245,<=$15 (Low),POINT (670.3987400004884 1584.4743462106067),3,56
382,Wednesday,4,9,13.37043245,<=$15 (Low),POINT (670.3987400004884 1584.4743462106067),3,44
383,Friday,6,8,22.61920523,$16-35(Mid),POINT (829.9556783260775 2163.4803049897623),146,75
383,Monday,6,8,22.61920523,$16-35(Mid),POINT (829.9556783260775 2163.4803049897623),146,75
383,Thursday,6,8,22.61920523,$16-35(Mid),POINT (829.9556783260775 2163.4803049897623),146,75
383,Tuesday,6,8,22.61920523,$16-35(Mid),POINT (829.9556783260775 2163.4803049897623),146,75
383,Wednesday,6,8,22.61920523,$16-35(Mid),POINT (829.9556783260775 2163.4803049897623),146,75
384,Friday,3,3,22.88711192,$16-35(Mid),POINT (880.1644882398598 4339.7016557216575),527,100
384,Monday,3,3,22.88711192,$16-35(Mid),POINT (880.1644882398598 4339.7016557216575),527,100
384,Saturday,1,3,22.88711192,$16-35(Mid),POINT (880.1644882398598 4339.7016557216575),527,33
384,Sunday,1,3,22.88711192,$16-35(Mid),POINT (880.1644882398598 4339.7016557216575),527,33
384,Thursday,2,3,22.88711192,$16-35(Mid),POINT (880.1644882398598 4339.7016557216575),527,67
384,Tuesday,2,3,22.88711192,$16-35(Mid),POINT (880.1644882398598 4339.7016557216575),527,67
384,Wednesday,3,3,22.88711192,$16-35(Mid),POINT (880.1644882398598 4339.7016557216575),527,100
385,Friday,5,6,17.26818543,$16-35(Mid),POINT (231.13884534051988 1095.6471792268785),782,83
385,Monday,5,6,17.26818543,$16-35(Mid),POINT (231.13884534051988 1095.6471792268785),782,83
385,Thursday,5,6,17.26818543,$16-35(Mid),POINT (231.13884534051988 1095.6471792268785),782,83
385,Tuesday,5,6,17.26818543,$16-35(Mid),POINT (231.13884534051988 1095.6471792268785),782,83
385,Wednesday,5,6,17.26818543,$16-35(Mid),POINT (231.13884534051988 1095.6471792268785),782,83
